78.5809 	EXP 	TrialFixationEnd: autoDraw = False
78.5809 	EXP 	TopImage: autoDraw = False
78.5809 	EXP 	LeftFrame: autoDraw = False
78.5809 	EXP 	LeftImage: autoDraw = False
78.5809 	EXP 	RightFrame: autoDraw = False
78.5809 	EXP 	RightImage: autoDraw = False
78.5809 	EXP 	TrialFixationEnd: autoDraw = False
78.5809 	EXP 	TopImage: image = 'stimuli/07F_FE_O.BMP'
78.5809 	EXP 	LeftFrame: image = 'stimuli/EmptyFrame.bmp'
78.5809 	EXP 	LeftImage: image = 'stimuli/07F_FE_O.BMP'
78.5809 	EXP 	RightFrame: image = 'stimuli/EmptyFrame.bmp'
78.5809 	EXP 	RightImage: image = 'stimuli/14F_FE_O.BMP'
78.5809 	EXP 	TopImage: autoDraw = True
78.5809 	EXP 	LeftFrame: autoDraw = True
78.5809 	EXP 	LeftImage: autoDraw = True
78.5809 	EXP 	RightFrame: autoDraw = True
78.5809 	EXP 	RightImage: autoDraw = True
79.5243 	DATA 	Keypress: escape
79.5599 	EXP 	window1: mouseVisible = True
79.5599 	DEBUG 	Saving data for HaririTask_Ver2 ExperimentHandler
79.5626 	INFO 	saved data to C:\Users\local.BME\Desktop\HaririTask\data/sub024_HaririTask_Ver2_2025_Jul_31_0841.psydat
79.5637 	INFO 	saved data to 'C:\\Users\\local.BME\\Desktop\\HaririTask\\data/sub024_HaririTask_Ver2_2025_Jul_31_0841.csv'
